Tweet,sentiment,clean_text,conflict_count,peace_count,bias_balance,neutralized_text
"@dgv1133 @KubaBielamowicz Albanians are secular people, religion doesn’t matter. Iran are not secular at all 😂",NEGATIVE,albanians are secular people religion doesnt matter iran are not secular at all,0,0,0.7410714285714286,albanians are secular people religion doesnt matter iran are not secular at all
"@E_Z1919 @kos_data Yes. Thank you for reminding us of the  fact that Serbs were victims of the Ustasha regime, a close collaborators of the Nazis.",POSITIVE,yes thank you for reminding us of the  fact that serbs were victims of the ustasha regime a close collaborators of the nazis,0,0,0.7410714285714286,yes thank you for reminding us of tthey  fact that serbs were victims of tthey ustasha regime a close collaborators of tthey nazis
"@DD_Geopolitics In the name of the only God for my holy Orthodoxy ☦️ and my holy Serbia🇷🇸 Amen🙏🏻

https://t.co/Tz1iPb5XaH https://t.co/JwAXFFClmo",NEGATIVE,in the name of the only god for my holy orthodoxy  and my holy serbia amen,0,0,0.7410714285714286,in tthey name of tthey only god for my holy orthodoxy  and my holy region amen
"🇺🇸 #XRP Rewards is live!

1️⃣ Explore Ripple's post: https://t.co/5mKXcXleWO
2️⃣ Check your eligibility on the page listed

🧿 Eligible users: @Fguillaume16 @rks_nic @TomStri91364248 @Jumpingjack21m1 @Noir_0008 @jukdima1 

  wXIFv",POSITIVE,"xrp rewards is live

 explore ripples post 
 check your eligibility on the page listed

 eligible users       

  wxifv",1,0,0.7410714285714286,"xrp rewards is live

 explore ripples post 
 ctheyck your eligibility on tthey page listed

 eligible users       

  wxifv"
@AbsoluX789 @kirawontmiss Yea but he called Kosovo a Serbian territory,NEGATIVE,yea but he called kosovo a serbian territory,0,0,0.7410714285714286,yea but they called region a group territory
@holgerkurti_ @ShitpostGate 50% of the Albanians  from Albania are brown so shut your mouth.,NEGATIVE,of the albanians  from albania are brown so shut your mouth,0,0,0.7410714285714286,of tthey albanians  from albania are brown so shut your mouth
"@gj_marko @orthodox22790 We took Kosovo back from Turks after 345 years, you think we will wait that long with Americans? You are not an issue for us at all, you never were, only your masters",NEGATIVE,we took kosovo back from turks after  years you think we will wait that long with americans you are not an issue for us at all you never were only your masters,0,0,0.7410714285714286,we took region back from turks after  years you think we will wait that long with americans you are not an issue for us at all you never were only your masters
"@macdonald_90002 @SerenaJB3 @LozzaFox If you're arguing that Croats, Serbs and Bosniaks are genetically indistinguishable from each other, then I'd say that ""ethnic cleansing"" was a misapplication of the term.",NEGATIVE,if youre arguing that croats serbs and bosniaks are genetically indistinguishable from each other then id say that ethnic cleansing was a misapplication of the term,0,0,0.7410714285714286,if youre arguing that croats serbs and bosniaks are genetically indistinguishable from each ottheyr ttheyn id say that community cleansing was a misapplication of tthey term
@ChampionSRB3 @nolpenkii @factsbalkans Yeah good anectode retard. I got a blow job from a serb,POSITIVE,yeah good anectode retard i got a blow job from a serb,0,0,0.7410714285714286,yeah good anectode retard i got a blow job from a serb
@HDThoreau11 @SprinterFamily I fully expect them to create another hot spot in Serbia. Spread Russia as thin as possible.,NEGATIVE,i fully expect them to create another hot spot in serbia spread russia as thin as possible,0,0,0.7410714285714286,i fully expect ttheym to create anottheyr hot spot in region spread russia as thin as possible
